route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
2,2022_09_12-DX-MVS-Weekday-33,1184917,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185095,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184918,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185097,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184919,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185098,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184920,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185099,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184921,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185096,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184922,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185100,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184923,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185101,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184924,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185102,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184925,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185103,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184926,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185104,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184927,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185105,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184928,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185106,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184929,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185107,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184930,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185108,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184931,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185109,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184933,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185110,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184934,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185111,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184935,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185112,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184932,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185113,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184936,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185114,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184937,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185115,San Francisco International Airport,1,,1185153_shp,,1,1
2,2022_09_12-DX-MVS-Weekday-33,1184938,San Francisco / Antioch,0,,1184980_shp,,1,1
1,2022_09_12-DX-MVS-Weekday-33,1185116,San Francisco International Airport,1,,1185153_shp,,1,1
